"ID","Name","City","Auth","Dec","Roll"
292,"Golden Bay High School","Nelson","State",6,321
3226,"Takaka Primary School","Nelson","State",6,181
3213,"Parklands School","Motueka","State",3,242
3222,"St Peter Chanel School (Motueka)","Motueka","State Integrated",5,73
298,"Motueka High School","Motueka","State",4,598
1654,"Motueka Rudolf Steiner School","Motueka","Private",4,58
3206,"Motueka South School","Motueka","State",3,231
3201,"Mahana School","Mahana","State",10,53
1178,"Tasman Bay Christian School","Upper Moutere","State Integrated",5,55
3228,"Tasman School","Tasman District","State",7,82
3200,"Lower Moutere School","Tasman District","State",4,157
3186,"Canvastown School","Canvastown","State",5,29
3225,"Central Takaka School","Tasman","State",6,58
3207,"Motupipi School","Takaka","State",6,80
291,"Rai Valley Area School","Rai Valley","State",6,94
1176,"Mountain Valley School","Pokororo","Private",4,12
3212,"Ngatimoti School","Tasman District","State",4,69
3185,"Brooklyn School (Motueka)","Tasman District","State",5,75
3217,"Riwaka School","Riwaka","State",6,199
2812,"Bohally Intermediate","Blenheim","State",6,407
288,"Marlborough Boys' College","Blenheim","State",7,1006
289,"Marlborough Girls' College","Blenheim","State",7,1029
2912,"Mayfield School (Blenheim)","Blenheim","State",2,110
2977,"Redwoodtown School","Blenheim","State",6,249
421,"Richmond View School","Blenheim","State Integrated",6,98
2996,"Springlands School","Blenheim","State",7,436
3012,"St Mary's School (Blenheim)","Blenheim","State Integrated",8,376
3071,"Whitney Street School","Blenheim","State",5,248
3075,"Witherlea School","Blenheim","State",9,339
2851,"Grovetown School","Blenheim","State",7,49
2995,"Spring Creek School","Marlborough","State",4,56
2978,"Renwick School","Marlborough","State",8,375
2988,"Seddon School","Marlborough","State",5,110
2956,"Picton School","Picton","State",3,134
3009,"St Joseph's School (Picton)","Picton","State Integrated",5,30
3057,"Waikawa Bay School","Picton","State",5,86
2811,"Blenheim School","Blenheim","State",3,81
287,"Queen Charlotte College","Picton","State",4,349
3050,"Tua Marina School","Marlborough","State",7,86
3067,"Ward School","Marlborough","State",6,58
